Date Time,Full Message,Template 1,Word 1,Conjunction,Template 2,Word 2,Gesture,Location,Umbrella Location,Appraisals
18/11/2022 17:21,if only i had a bow...,"['if only I had a ', '...']",bow,,,,,Stormhill,Limgrave,3
18/11/2022 17:21,be wary of tail,['be wary of '],tail,,,,,Stormhill Evergaol,Limgrave,1
18/11/2022 17:21,be wary of up and then try horseback battle,['be wary of '],up, and then ,['try '],horseback battle,,Limgrave,Limgrave,0
18/11/2022 17:21,praise the parrying! so to speak i did it!!,['praise the '],parrying, so to speak ,['!'],i did it!,,Stormhill Evergaol,Limgrave,0
18/11/2022 17:21,teacher ahead,[' ahead'],teacher,,,,,Stormhill Evergaol,Limgrave,0
18/11/2022 17:27,gesturing ahead therefore seek high road,[' ahead'],gesturing, therefore ,['seek '],high road,Point Upwards,Stormhill,Limgrave,73
18/11/2022 17:27,ladder required ahead,[' required ahead'],ladder,,,,,Stormhill,Limgrave,43
18/11/2022 17:27,"ahh, checkpoint...","['ahh, ', '...']",checkpoint,,,,,Stormhill,Limgrave,32
18/11/2022 17:27,no jumping off ahead,"['no ', ' ahead']",jumping off,,,,,Stormhill,Limgrave,20
18/11/2022 17:27,didn't expect something...,"[""didn't expect "", '...']",something,,,,,Stormhill,Limgrave,14
18/11/2022 17:27,item ahead,[' ahead'],item,,,,Point Upwards,Stormhill,Limgrave,13
18/11/2022 17:27,try bow,['try '],bow,,,,,Stormhill,Limgrave,8
18/11/2022 17:27,try fleeing,['try '],fleeing,,,,,Stormhill,Limgrave,7
18/11/2022 17:27,gesturing ahead,[' ahead'],gesturing,,,,Point Upwards,Stormhill,Limgrave,6
18/11/2022 17:27,gesturing ahead,[' ahead'],gesturing,,,,,Stormhill,Limgrave,6
18/11/2022 17:34,"stone astrolabe, o stone astrolabe all the more stone astrolabe, o stone astrolabe","[', o ']",stone astrolabe, all the more ,"[', o ']",stone astrolabe,,Stormhill,Limgrave,400
18/11/2022 17:34,lovable sort ahead,[' ahead'],lovable sort,,,,,Stormhill Shack,Limgrave,158
18/11/2022 17:34,"ahh, lover... all the more head!","['ahh, ', '...']",lover, all the more ,['!'],head,,Stormhill Shack,Limgrave,87
18/11/2022 17:34,lovable sort ahead but be wary of skeleton,[' ahead'],lovable sort, but ,['be wary of '],skeleton,,Stormhill,Limgrave,84
18/11/2022 17:34,praise the dragon!,['praise the '],dragon,,,,The Ring,Stormhill,Limgrave,76
18/11/2022 17:34,friendship ahead but be wary of skeleton,[' ahead'],friendship, but ,['be wary of '],skeleton,,Stormhill,Limgrave,58
18/11/2022 17:34,praise the dog!,['praise the '],dog,,,,My Lord,Stormhill,Limgrave,50
18/11/2022 17:34,didn't expect friend...,"[""didn't expect "", '...']",friend,,,,Jump for Joy,Stormhill,Limgrave,49
18/11/2022 17:34,be wary of pack,['be wary of '],pack,,,,,Stormhill,Limgrave,38
18/11/2022 17:34,let there be light,['let there be '],light,,,,,Stormhill,Limgrave,19
18/11/2022 17:34,no knight ahead,"['no ', ' ahead']",knight,,,,,Stormhill,Limgrave,18
18/11/2022 17:34,ambush ahead,[' ahead'],ambush,,,,,Stormhill,Limgrave,16
18/11/2022 17:34,try introspection or something,['try '],introspection, or ,,something,Triumphant Delight,Stormhill Shack,Limgrave,15
18/11/2022 17:34,skeleton ahead,[' ahead'],skeleton,,,,,Stormhill,Limgrave,13
18/11/2022 17:34,trap ahead,[' ahead'],trap,,,,,Stormhill,Limgrave,13
18/11/2022 17:34,friendship ahead all the more offer seed,[' ahead'],friendship, all the more ,['offer '],seed,Rest,Stormhill,Limgrave,6
18/11/2022 17:34,liar ahead,[' ahead'],liar,,,,,Stormhill,Limgrave,4
18/11/2022 17:34,be wary of dog,['be wary of '],dog,,,,,Stormhill,Limgrave,1
18/11/2022 17:34,slug ahead,[' ahead'],slug,,,,,Stormhill,Limgrave,0
18/11/2022 17:34,checkpoint ahead,[' ahead'],checkpoint,,,,,Stormhill,Limgrave,0
18/11/2022 17:40,"mushroom, o mushroom","[', o ']",mushroom,,,,,Stormhill,Limgrave,442
18/11/2022 17:40,"grass, o grass and then ahh, it's like a dream......","[', o ']",grass, and then ,"['ahh, ', '...']",it's like a dream...,Rest,Stormhill,Limgrave,197
18/11/2022 17:40,be wary of up,['be wary of '],up,,,,,Stormhill,Limgrave,174
18/11/2022 17:40,fingers,,fingers,,,,,Stormhill,Limgrave,53
18/11/2022 17:40,good luck!,['!'],good luck,,,,,Stormhill,Limgrave,47
18/11/2022 17:40,grass! therefore time for rolling,['!'],grass, therefore ,['time for '],rolling,Rest,Stormhill,Limgrave,38
18/11/2022 17:40,seems familiar... ahead,[' ahead'],seems familiar…,,,,,Stormhill,Limgrave,25
18/11/2022 17:40,fingers required ahead,[' required ahead'],fingers,,,,,Stormhill,Limgrave,22
18/11/2022 17:40,try right,['try '],right,,,,,Stormhill,Limgrave,15
18/11/2022 17:40,introspection ahead,[' ahead'],introspection,,,,,Stormhill,Limgrave,13
18/11/2022 17:40,precious item ahead,[' ahead'],precious item,,,,,Stormhill,Limgrave,5
18/11/2022 17:40,be wary of high road in short seek hidden path,['be wary of '],high road, in short ,['seek '],hidden path,Point Forwards,Stormhill,Limgrave,4
18/11/2022 17:40,"don't give up, skeleton!",,don't give up,",",['!'],skeleton,,Stormhill,Limgrave,4
18/11/2022 17:40,if only i had a arms...,"['if only I had a ', '...']",arms,,,,,Stormhill,Limgrave,2
18/11/2022 17:40,"behold, jumping off!","['behold, ', '!']",jumping off,,,,,Stormhill,Limgrave,2
18/11/2022 17:40,camp site ahead,[' ahead'],camp site,,,,Point Forwards,Stormhill,Limgrave,2
18/11/2022 17:40,i did it!!,['!'],i did it!,,,,,Stormhill,Limgrave,0
18/11/2022 17:40,ruin,,ruin,,,,,Liurnia of the Lakes,Liurnia of the Lakes,55
18/11/2022 20:46,seek right,['seek '],right,,,,Point Forwards,Liurnia of the Lakes,Liurnia of the Lakes,66
18/11/2022 20:46,"behold, on the brink!","['behold, ', '!']",on the brink,,,,,Liurnia of the Lakes,Liurnia of the Lakes,62
18/11/2022 20:46,offer faith,['offer '],faith,,,,,Liurnia of the Lakes,Liurnia of the Lakes,33
18/11/2022 20:46,ahead ahead,[' ahead'],ahead,,,,Point Forwards,Liurnia of the Lakes,Liurnia of the Lakes,30
18/11/2022 20:46,death ahead,[' ahead'],death,,,,,Liurnia of the Lakes,Liurnia of the Lakes,29
18/11/2022 20:46,liar ahead,[' ahead'],liar,,,,,Liurnia of the Lakes,Liurnia of the Lakes,19
18/11/2022 20:46,"behold, tranquility!","['behold, ', '!']",tranquility,,,,,Liurnia of the Lakes,Liurnia of the Lakes,16
18/11/2022 20:46,jumping ahead,[' ahead'],jumping,,,,Point Forwards,Liurnia of the Lakes,Liurnia of the Lakes,9
18/11/2022 20:46,no high road ahead,"['no ', ' ahead']",high road,,,,,Liurnia of the Lakes,Liurnia of the Lakes,7
18/11/2022 20:48,"jumping, o jumping and then jumping, o jumping","[', o ']",jumping, and then ,"[', o ']",jumping,Jump for Joy,Liurnia of the Lakes,Liurnia of the Lakes,304
18/11/2022 20:48,why is it always message?,"['why is it always', '?']",message,,,,,Liurnia of the Lakes,Liurnia of the Lakes,111
18/11/2022 20:48,"why is it always jumping?, didn't expect madness...","['why is it always', '?']",jumping,",","[""didn't expect "", '...']",madness,Wait!,Liurnia of the Lakes,Liurnia of the Lakes,95
18/11/2022 20:48,still no clear sky...,"['still no ', '...']",clear sky,,,,,Liurnia of the Lakes,Liurnia of the Lakes,42
18/11/2022 20:48,be wary of wolf,['be wary of '],wolf,,,,,Liurnia of the Lakes,Liurnia of the Lakes,20
18/11/2022 20:48,"behold, elden ring!","['behold, ', '!']",elden ring,,,,,Liurnia of the Lakes,Liurnia of the Lakes,19
18/11/2022 20:48,"why is it always dog?, sadness","['why is it always', '?']",dog,",",,sadness,Dejection,Liurnia of the Lakes,Liurnia of the Lakes,13
18/11/2022 20:48,"first off, jumping","['first off, ']",jumping,,,,,Liurnia of the Lakes,Liurnia of the Lakes,4
18/11/2022 20:51,let there be wolf,['let there be '],wolf,,,,,Liurnia of the Lakes,Liurnia of the Lakes,76
18/11/2022 20:51,why is it always dog?,"['why is it always', '?']",dog,,,,,Liurnia of the Lakes,Liurnia of the Lakes,27
18/11/2022 20:51,dead end ahead,[' ahead'],dead end,,,,,Liurnia of the Lakes,Liurnia of the Lakes,20
18/11/2022 20:51,well done!,['!'],well done,,,,,Liurnia of the Lakes,Liurnia of the Lakes,10
18/11/2022 20:51,why is it always wolf?,"['why is it always', '?']",wolf,,,,,Liurnia of the Lakes,Liurnia of the Lakes,9
18/11/2022 20:51,gorgeous view ahead,[' ahead'],gorgeous view,,,,,Liurnia of the Lakes,Liurnia of the Lakes,5
18/11/2022 20:51,don't you dare!!,['!'],don't you dare!,,,,,Liurnia of the Lakes,Liurnia of the Lakes,4
18/11/2022 20:51,"ahh, wolf...","['ahh, ', '...']",wolf,,,,,Liurnia of the Lakes,Liurnia of the Lakes,1
18/11/2022 20:51,visions of mushroom...,"['visions of ', '...']",mushroom,,,,,Liurnia of the Lakes,Liurnia of the Lakes,0
18/11/2022 20:54,try jumping off,['try '],jumping off,,,,,Liurnia of the Lakes,Liurnia of the Lakes,54
18/11/2022 20:54,"try jumping, sinner",['try '],jumping,",",,sinner,Rapture,Liurnia of the Lakes,Liurnia of the Lakes,19
18/11/2022 20:54,why is it always beautiful...? and then let there be tears,"['why is it always', '?']",beautiful..., and then ,['let there be '],tears,Warm Welcome,Liurnia of the Lakes,Liurnia of the Lakes,7
18/11/2022 20:54,"beautiful..., it's like a dream...",,beautiful...,",",,it's like a dream...,,Liurnia of the Lakes,Liurnia of the Lakes,5
18/11/2022 20:54,seek lord therefore no friend ahead,['seek '],lord, therefore ,"['no ', ' ahead']",friend,Hoslow's Oath,Liurnia of the Lakes,Liurnia of the Lakes,4
18/11/2022 20:54,"if only i had a grass..., high spot!","['if only I had a ', '...']",grass,",",['!'],high spot,Rest,Liurnia of the Lakes,Liurnia of the Lakes,2
18/11/2022 20:54,visions of angel...,"['visions of ', '...']",angel,,,,,Liurnia of the Lakes,Liurnia of the Lakes,2
18/11/2022 20:54,praise the fire!,['praise the '],fire,,,,Fire Spur Me,Liurnia of the Lakes,Liurnia of the Lakes,1
18/11/2022 20:54,unfathomable sort ahead,[' ahead'],unfathomable sort,,,,Point Forwards,Liurnia of the Lakes,Liurnia of the Lakes,1
18/11/2022 20:54,"ahh, grass... and then tranquility","['ahh, ', '...']",grass, and then ,,tranquility,Point Downwards,Liurnia of the Lakes,Liurnia of the Lakes,0
18/11/2022 20:55,"first off, well done, time for elden ring","['first off, ']",well done,",",['time for '],elden ring,Point Upwards,Stormveil Castle,Limgrave,87
18/11/2022 20:55,necessary item ahead,[' ahead'],necessary item,,,,Point Forwards,Stormveil Castle,Limgrave,17
18/11/2022 20:55,surface ahead,[' ahead'],surface,,,,,Stormveil Castle,Limgrave,12
18/11/2022 20:55,still no lover...,"['still no ', '...']",lover,,,,,Stormveil Castle,Limgrave,1
18/11/2022 20:55,likely door,['likely '],door,,,,,Stormveil Castle,Limgrave,1
18/11/2022 20:55,"ahh, core...","['ahh, ', '...']",core,,,,Dejection,Stormveil Castle,Limgrave,0
18/11/2022 20:55,be wary of fruit in short visions of chaos...,['be wary of '],fruit, in short ,"['visions of ', '...']",chaos,Dejection,Stormveil Castle,Limgrave,0
18/11/2022 20:55,"behold, ladder!","['behold, ', '!']",ladder,,,,,Stormveil Castle,Limgrave,0
18/11/2022 20:55,"well done, o well done","[', o ']",well done,,,,,Liurnia of the Lakes,Liurnia of the Lakes,7
18/11/2022 20:55,"keep moving..., elden ring, o elden ring",['...'],keep moving,",","[', o ']",elden ring,As You Wish,Liurnia of the Lakes,Liurnia of the Lakes,3
18/11/2022 21:01,"praise the message! and then behold, something incredible!",['praise the '],message, and then ,"['behold, ', '!']",something incredible,,Stormveil Castle,Limgrave,2335
18/11/2022 21:01,praise the message! and then time for something incredible,['praise the '],message, and then ,['time for '],something incredible,,Stormveil Castle,Limgrave,191
18/11/2022 21:01,"why is it always not here!?, if only i had a precious item...","['why is it always', '?']",not here!,",","['if only I had a ', '...']",precious item,Dejection,Stormveil Castle,Limgrave,63
18/11/2022 21:01,well done!,['!'],well done,,,,,Stormveil Castle,Limgrave,28
18/11/2022 21:01,well done!,['!'],well done,,,,Jump for Joy,Stormveil Castle,Limgrave,28
18/11/2022 21:01,item ahead,[' ahead'],item,,,,Point Forwards,Stormveil Castle,Limgrave,12
18/11/2022 21:01,didn't expect circling around...,"[""didn't expect "", '...']",circling around,,,,Dejection,Stormveil Castle,Limgrave,11
18/11/2022 21:01,praise the elden ring!,['praise the '],elden ring,,,,,Roundtable Hold,Miscellaneous,1
18/11/2022 21:01,praise the jumping!,['praise the '],jumping,,,,,Roundtable Hold,Miscellaneous,1
18/11/2022 21:01,right,,right,,,,,Stormveil Castle,Limgrave,0
18/11/2022 21:05,why is it always friend?,"['why is it always', '?']",friend,,,,Dejection,Roundtable Hold,Miscellaneous,8
18/11/2022 21:05,lovable sort ahead,[' ahead'],lovable sort,,,,,Roundtable Hold,Miscellaneous,7
18/11/2022 21:05,no liar ahead,"['no ', ' ahead']",liar,,,,,Roundtable Hold,Miscellaneous,6
18/11/2022 21:05,"don't give up, skeleton!",,don't give up,",",['!'],skeleton,Dejection,Roundtable Hold,Miscellaneous,5
18/11/2022 21:05,master ahead,[' ahead'],master,,,,,Roundtable Hold,Miscellaneous,3
18/11/2022 21:05,champion,,champion,,,,,Roundtable Hold,Miscellaneous,1
18/11/2022 21:05,two-handing required ahead,[' required ahead'],two-handing,,,,,Roundtable Hold,Miscellaneous,0
18/11/2022 21:05,"first off, lover, help me..., o help me...","['first off, ']",lover,",","[', o ']",help me,Point Downwards,Roundtable Hold,Miscellaneous,0
18/11/2022 21:44,look carefully and then try attacking,,look carefully, and then ,['try '],attacking,,Limgrave,Limgrave,37
18/11/2022 21:44,"behold, trio!","['behold, ', '!']",trio,,,,,Limgrave,Limgrave,24
18/11/2022 21:44,time for comfort,['time for '],comfort,,,,Rest,Limgrave,Limgrave,17
18/11/2022 21:44,try attacking,['try '],attacking,,,,,Limgrave,Limgrave,12
18/11/2022 21:44,"scarab ahead, try magic",[' ahead'],scarab,",",['try '],magic,,Limgrave,Limgrave,11
18/11/2022 21:44,why is it always enemy? but still no friend...,"['why is it always', '?']",enemy, but ,"['still no ', '...']",friend,Dejection,Limgrave,Limgrave,10
18/11/2022 21:44,"first off, critical hit","['first off, ']",critical hit,,,,,Limgrave,Limgrave,8
18/11/2022 21:44,no friend ahead,"['no ', ' ahead']",friend,,,,,Limgrave,Limgrave,0
18/11/2022 22:02,look carefully...,['...'],look carefully,,,,,Limgrave,Limgrave,70
18/11/2022 22:02,cave ahead but seek jump attack,[' ahead'],cave, but ,['seek '],jump attack,Wait!,Limgrave,Limgrave,50
18/11/2022 22:02,likely here!,['likely '],here!,,,,,Limgrave,Limgrave,46
18/11/2022 22:02,death ahead,[' ahead'],ahead,,,,,Limgrave,Limgrave,10
18/11/2022 22:02,liar ahead,[' ahead'],liar,,,,,Limgrave,Limgrave,9
18/11/2022 22:02,praise the friend!,['praise the '],friend,,,,,Roundtable Hold,Miscellaneous,0
18/11/2022 22:10,enemy ahead,[' ahead'],enemy,,,,,Stormfoot Catacombs,Limgrave,156
18/11/2022 22:10,didn't expect up... so to speak try ranged battle,"[""didn't expect "", '...']",up, so to speak ,['try '],ranged battle,,Stormfoot Catacombs,Limgrave,53
18/11/2022 22:10,try target lock,['try '],target lock,,,,Point Forwards,Stormfoot Catacombs,Limgrave,23
18/11/2022 22:10,monster ahead,[' ahead'],monster,,,,,Stormfoot Catacombs,Limgrave,22
18/11/2022 22:10,be wary of up,['be wary of '],up,,,,,Stormfoot Catacombs,Limgrave,20
18/11/2022 22:10,if only i had a projectile weapon... or try rushing in,"['if only I had a ', '...']",projectile weapon, or ,['try '],rushing in,Point Forwards,Stormfoot Catacombs,Limgrave,10
18/11/2022 22:10,be wary of left,['be wary of '],left,,,,By My Sword,Stormfoot Catacombs,Limgrave,5
18/11/2022 22:10,fleeing ahead,[' ahead'],fleeing,,,,,Stormfoot Catacombs,Limgrave,3
